riskygain, riskyloss, certainalternative, choice, outcome, trial, block, triBlock, subjID
12,-6,0,1,-6,1,1,1, 020
5,-1.25,0,1,-1.25,2,1,2, 020
5,-0.5,0,1,5,3,1,3, 020
5,-1.79,0, NaN, NaN,4,1,4, 020
5,-5,0,1,-5,5,1,5, 020
7,-2.8,0,1,-2.8,6,1,6, 020
7.04,0,4.48,0,4.48,7,1,7, 020
7.87,0,4.07,0,4.07,8,1,8, 020
10,-6.67,0, NaN, NaN,9,1,9, 020
7,-1,0,1,-1,10,1,10, 020
24.26,0,11.87,0,11.87,11,1,11, 020
10,0,-1,1,10,12,1,12, 020
12,-3.53,0,1,12,13,1,13, 020
32,0,0,1,0,14,1,14, 020
5,-2.5,0,1,5,15,1,15, 020
8.03,0,3.99,1,8.03,16,1,16, 020
15.95,0,8.03, NaN, NaN,17,1,17, 020
5,-2.78,0,1,5,18,1,18, 020
2,-0.65,0,1,2,19,1,19, 020
8,-3.33,0,1,8,20,1,20, 020
5,-7.14,0,1,-7.14,21,1,21, 020
25.47,0,11.27,1,25.47,22,1,22, 020
10,-4.76,0,1,-4.76,23,1,23, 020
8.21,0,3.9,1,8.21,24,1,24, 020
12,-10,0,1,12,25,1,25, 020
15.15,0,8.42,1,0,26,1,26, 020
5.34,0,5.34,1,5.34,27,1,27, 020
10,-5.88,0, NaN, NaN,28,2,1, 020
10,-1.72,0,1,10,29,2,2, 020
10,-5.26,0,1,-5.26,30,2,3, 020
2,-1.05,0,1,-1.05,31,2,4, 020
5,-3.13,0, NaN, NaN,32,2,5, 020
7,-7.78,0,0,0,33,2,6, 020
17.13,0,7.43,1,17.13,34,2,7, 020
17.65,0,7.17,1,17.65,35,2,8, 020
8,0,8,1,0,36,2,9, 020
7,-1.21,0,1,7,37,2,10, 020
13.73,0,9.13,1,0,38,2,11, 020
7,-3.33,0, NaN, NaN,39,2,12, 020
12,-5.45,0,1,-5.45,40,2,13, 020
14.45,0,8.78,0,8.78,41,2,14, 020
2,-4,0,1,-4,42,2,15, 020
10,-3.23,0,1,10,43,2,16, 020
8,-11.43,0,1,8,44,2,17, 020
27.06,0,10.47,0,10.47,45,2,18, 020
22.4,0,4.8, NaN, NaN,46,2,19, 020
10,-9.09,0,1,10,47,2,20, 020
31.43,0,8.29,0,8.29,48,2,21, 020
12,-7.5,0,1,12,49,2,22, 020
8,-5,0,1,-5,50,2,23, 020
16,0,0,1,16,51,2,24, 020
16.68,0,7.66,0,7.66,52,2,25, 020
8,-0.8,0,1,-0.8,53,2,26, 020
7,-14,0, NaN, NaN,54,2,27, 020
8,-8,0,1,8,55,3,1, 020
10,-20,0,1,10,56,3,2, 020
5,-0.78,0,1,5,57,3,3, 020
12,-6.67,0,1,-6.67,58,3,4, 020
2,-1.82,0,1,2,59,3,5, 020
2,-0.29,0,1,-0.29,60,3,6, 020
12,-8.57,0,1,-8.57,61,3,7, 020
7,-5.38,0,1,-5.38,62,3,8, 020
21.39,0,13.31,0,13.31,63,3,9, 020
5,-3.57,0,1,-3.57,64,3,10, 020
5,0,9.5, NaN, NaN,65,3,11, 020
23.31,0,12.34,0,12.34,66,3,12, 020
5,-2.08,0,1,-2.08,67,3,13, 020
0,-8,0,0,0,68,3,14, 020
8,-2.86,0,1,8,69,3,15, 020
8,-1.25,0,1,8,70,3,16, 020
12,-2.31,0,1,-2.31,71,3,17, 020
8,-2.35,0, NaN, NaN,72,3,18, 020
7,-1.52,0,1,7,73,3,19, 020
5,-0.96,0,1,-0.96,74,3,20, 020
22.34,0,12.83,0,12.83,75,3,21, 020
2,-2.22,0,1,2,76,3,22, 020
12,-12,0,1,12,77,3,23, 020
15.64,0,8.18,0,8.18,78,3,24, 020
23.76,0,12.12, NaN, NaN,79,3,25, 020
8,-4.44,0,1,8,80,3,26, 020
2,-0.54,0,1,-0.54,81,3,27, 020
7.33,0,4.34, NaN, NaN,82,4,1, 020
8.92,0,3.54,0,3.54,83,4,2, 020
5,-2.27,0,1,5,84,4,3, 020
5,-4.17,0,1,-4.17,85,4,4, 020
2,-1.18,0,1,-1.18,86,4,5, 020
8,-2,0,1,8,87,4,6, 020
7,-6.36,0,1,7,88,4,7, 020
2,-0.34,0,1,2,89,4,8, 020
8,-6.67,0,1,8,90,4,9, 020
12,-1.2,0,1,12,91,4,10, 020
2,-1.33,0,1,-1.33,92,4,11, 020
26.2,0,10.9,0,10.9,93,4,12, 020
10,-1.43,0,1,-1.43,94,4,13, 020
8.65,0,3.68,0,3.68,95,4,14, 020
12,-17.14,0,1,12,96,4,15, 020
7,-4.12,0,1,-4.12,97,4,16, 020
7,-2.26,0,1,7,98,4,17, 020
10,-2.17,0,1,-2.17,99,4,18, 020
16.29,0,7.85,0,7.85,100,4,19, 020
7,-1.89,0,1,7,101,4,20, 020
10,-11.11,0,1,10,102,4,21, 020
2,-0.87,0,1,2,103,4,22, 020
18.83,0,6.59, NaN, NaN,104,4,23, 020
10,-4.35,0,1,10,105,4,24, 020
5,-1.47,0,1,-1.47,106,4,25, 020
7.73,0,4.14,0,4.14,107,4,26, 020
19.88,0,14.06,0,14.06,108,4,27, 020
9.89,0,3.05,0,3.05,109,5,1, 020
12,-1.88,0,1,12,110,5,2, 020
